x,Curve1
-0.652,4.30104
6.896,4.29682
17.518,4.33049
27.359,4.34521
31.078,4.30309
37.153,4.32624
40.216,4.35571
46.224,4.33044
52.273,4.33464
54.58,4.36411
60.632,4.37042
65.899,4.35567
71.98,4.38303
78.782,4.38512
82.487,4.33248
86.194,4.28195
92.226,4.27351
102.81,4.27981
106.517,4.22928
110.347,4.26717
116.451,4.31137
124.014,4.31767
127.721,4.26714
132.19,4.22081
141.255,4.22079
147.286,4.21236
154.884,4.24393
163.26,4.29234
171.604,4.31759
183.714,4.33441
189.757,4.3344
194.979,4.28597
198.686,4.23543
207.027,4.25858
210.732,4.20594
222.072,4.21223
234.908,4.208
243.929,4.17641
253.012,4.18902
258.273,4.17006
261.249,4.13637
272.612,4.15951
278.661,4.16371
280.999,4.21634
290.86,4.2458
302.909,4.21841
315.751,4.21839
325.595,4.23522
337.687,4.23941
351.316,4.26254
360.346,4.23726
369.434,4.25409
375.414,4.20776
382.259,4.24143
395.075,4.22246
410.183,4.22244
420.006,4.22453
427.569,4.23083
433.589,4.21398
438.107,4.20344
446.475,4.24553
456.292,4.24341
466.856,4.23497
475.883,4.20759
484.143,4.17178
493.958,4.16755
506.024,4.1528
515.891,4.18646
527.234,4.19487
535.5,4.16327
541.572,4.18432
549.89,4.19062
552.984,4.24325
562.011,4.21586
569.574,4.22216
576.335,4.19478
583.904,4.2053
592.957,4.19686
